Kingdom Phylum Class Order Family Genus
284 Magnoliopsida NA NA NA NA NA
285 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
286 NA NA NA NA NA NA
287 NA NA NA NA NA NA
288 NA NA NA NA NA NA
289 Magnoliopsida NA NA NA NA NA
290 Magnoliopsida NA NA NA NA NA
291 NA NA NA NA NA NA
292 Magnoliopsida NA NA NA NA NA
293 Magnoliopsida Rosales NA NA NA NA
294 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
295 Magnoliopsida NA NA NA NA NA
296 NA NA NA NA NA NA
297 Magnoliopsida Laurales Hernandiaceae Illigera sp._DADA2_UNSPECIFIED NA
298 NA NA NA NA NA NA
299 NA NA NA NA NA NA
300 Magnoliopsida Rosales NA NA NA NA
301 NA NA NA NA NA NA
302 NA NA NA NA NA NA
303 NA NA NA NA NA NA
304 NA NA NA NA NA NA
305 Magnoliopsida Rosales NA NA NA NA
306 Magnoliopsida Poales Poaceae Sorghum sp. NA
307 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
308 NA NA NA NA NA NA
309 Magnoliopsida Laurales Hernandiaceae Illigera sp._DADA2_UNSPECIFIED NA
310 NA NA NA NA NA NA
311 Magnoliopsida Asterales Asteraceae Crassocephalum vitellinum NA
312 Magnoliopsida NA NA NA NA NA
313 Magnoliopsida Malvales Malvaceae Dombeya mukole NA
314 NA NA NA NA NA NA
315 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
316 Magnoliopsida NA NA NA NA NA
317 Magnoliopsida NA NA NA NA NA
318 Magnoliopsida NA NA NA NA NA
319 Magnoliopsida NA NA NA NA NA
320 NA NA NA NA NA NA
321 Magnoliopsida Rosales Moraceae NA NA NA
322 Magnoliopsida Rosales Moraceae NA NA NA
323 NA NA NA NA NA NA
324 Magnoliopsida Rosales NA NA NA NA
325 Magnoliopsida Sapindales Sapindaceae Pancovia turbinata NA
326 Magnoliopsida Rosales Ulmaceae Chaetacme aristata NA
327 NA NA NA NA NA NA
328 Magnoliopsida Fabales Fabaceae Acacia hockii NA
329 NA NA NA NA NA NA
330 Magnoliopsida NA NA NA NA NA
331 NA NA NA NA NA NA
332 NA NA NA NA NA NA
333 NA NA NA NA NA NA
334 NA NA NA NA NA NA
335 NA NA NA NA NA NA
336 NA NA NA NA NA NA
337 NA NA NA NA NA NA
338 NA NA NA NA NA NA
339 Magnoliopsida NA NA NA NA NA
340 NA NA NA NA NA NA
341 Magnoliopsida Sapindales Sapindaceae Pancovia turbinata NA
342 NA NA NA NA NA NA
343 NA NA NA NA NA NA
344 NA NA NA NA NA NA
345 Magnoliopsida Rosales NA NA NA NA
346 Magnoliopsida Rosales NA NA NA NA
347 Magnoliopsida NA NA NA NA NA
348 NA NA NA NA NA NA
349 NA NA NA NA NA NA
350 NA NA NA NA NA NA
351 NA NA NA NA NA NA
352 NA NA NA NA NA NA
353 NA NA NA NA NA NA
354 Magnoliopsida NA NA NA NA NA
355 NA NA NA NA NA NA
356 NA NA NA NA NA NA
357 Magnoliopsida NA NA NA NA NA
358 NA NA NA NA NA NA
359 NA NA NA NA NA NA
360 NA NA NA NA NA NA
361 NA NA NA NA NA NA
362 NA NA NA NA NA NA
363 NA NA NA NA NA NA
364 NA NA NA NA NA NA
365 NA NA NA NA NA NA
366 NA NA NA NA NA NA
367 NA NA NA NA NA NA
368 NA NA NA NA NA NA
369 NA NA NA NA NA NA
370 NA NA NA NA NA NA
371 Magnoliopsida Fabales Fabaceae Acacia hockii NA
372 NA NA NA NA NA NA
373 NA NA NA NA NA NA
374 Magnoliopsida NA NA NA NA NA
375 Magnoliopsida Poales Poaceae Sugarcane sp. NA
376 Magnoliopsida NA NA NA NA NA
377 Magnoliopsida Malpighiales Salicaceae Dovyalis sp. NA
378 NA NA NA NA NA NA
379 NA NA NA NA NA NA
380 NA NA NA NA NA NA
381 Magnoliopsida NA NA NA NA NA
382 NA NA NA NA NA NA
383 Magnoliopsida Rosales Urticaceae Urera hypsiloides NA
384 Magnoliopsida NA NA NA NA NA
385 Magnoliopsida Rosales Urticaceae Urera hypsiloides NA
386 NA NA NA NA NA NA
387 Magnoliopsida NA NA NA NA NA
388 NA NA NA NA NA NA
389 NA NA NA NA NA NA
390 NA NA NA NA NA NA
